molecule_ABC,1_1_1_7,4.05
molecule_ABC,1_1_1_8,4.28
molecule_ABC,1_1_1_8,4.16
molecule_ABC,1_1_1_8,4.17
molecule_A2B,2_1_3,4.28
molecule_A2B,2_1_3,4.23
molecule_A2B,2_1_3,4.02
molecule_A2B,2_1_4,4.06
molecule_A2B,2_1_4,4.06
molecule_A2B,2_1_4,4.10
molecule_A2B,2_1_5,4.01
molecule_A2B,2_1_5,4.18
molecule_A2B,2_1_5,4.00
molecule_A2B,2_1_6,4.09
molecule_A2B,2_1_6,4.29
molecule_A2B,2_1_6,4.18
molecule_A2B,2_1_7,4.05
molecule_A2B,2_1_7,4.28
molecule_A2B,2_1_7,4.17
molecule_A2B,2_1_8,4.10
molecule_A2B,2_1_8,4.15
molecule_A2B,2_1_8,4.17
molecule_A4,4_3,4.18
molecule_A4,4_3,4.14
molecule_A4,4_3,4.04
molecule_A4,4_4,4.02
molecule_A4,4_4,4.08
molecule_A4,4_4,4.18
molecule_A4,4_5,4.14
molecule_A4,4_5,4.08
molecule_A4,4_5,4.29
molecule_A4,4_6,4.14
molecule_A4,4_6,4.08
molecule_A4,4_6,4.09
molecule_A4,4_7,4.16
molecule_A4,4_7,4.13
molecule_A4,4_7,4.13
molecule_A4,4_8,4.33
molecule_A4,4_8,4.19
molecule_A4,4_8,4.20
molecule_A3BC,3_1_1_3,4.09
molecule_A3BC,3_1_1_3,4.27
molecule_A3BC,3_1_1_3,4.04
molecule_A3BC,3_1_1_4,4.23
molecule_A3BC,3_1_1_4,4.42
molecule_A3BC,3_1_1_4,4.42
molecule_A3BC,3_1_1_5,4.75
molecule_A3BC,3_1_1_5,4.75
molecule_A3BC,3_1_1_5,4.61
molecule_A3BC,3_1_1_6,7.17
